Atari title	Designer or programmer	Year	Genre
Millipede	Dave Staugas (programmer), Jerome Domurat (graphics), Andrew Fuchs (sound), Robert Vieira (sound)	1984	Fixed Shooter
Miniature Golf	Tom Reuterdahl	1979	Simulation, Sports, Strategy
Missile Command	Rob Fulop	1981	Action
Moon Patrol		1983	Action
MotoRodeo	Steve DeFrisco	1990	Racing / Driving, Sports
Ms. Pac-Man	Mike Horowitz and Josh Littlefield	1983	Action
Night Driver	Rob Fulop	1980	Action, Racing / Driving
Obelix	Suki Lee (programmer), Dave Jolly (graphics), Jeff Gusman (sound), Andrew Fuchs (sound)	1983	Action
Off the Wall		1989	Action
Oscar's Trash Race	Christopher Omarzu (programmer), Preston Stuart (graphics)	1983	Educational, Racing / Driving
Othello	Ed Logg	1980	Strategy
Outlaw	David Crane	1978	Action
Pac-Man	Tod Frye	1982	Action
Pel‚'s SoccerÿAKA Championship Soccer	Steve Wright	1980	Action, Sports
Pengo	Mark R. Hahn (programmer), Andrew Fuchs (sound), Jeff Gusman (sound), Courtney Granner (unknown)	1984	Action
Pepsi Invaders	Christopher Omarzu	1983	Action
Phoenix	Mike Feinstein and John Mracek	1983	Action
Pigs in Space	Rob Zdybel (programmer), John Russell (programmer), Bill Aspromonte (programmer), Michael Sierchio (designer)	1983	Action
Pole Position	Doug Macrae and John Allred	1983	Racing / Driving
Quadrun	Steve Woita	1983	Action
Radar Lock	Doug Neubauer	1989	Action
Raiders of the Lost Ark	Howard Scott Warshaw	1982	Adventure
RealSports Baseball	Joseph Tung	1982	Action, Sports
RealSports Boxing	Alex DeMeo	1987	Action, Sports
RealSports Football	Robert Zdybel	1982	Sports
RealSports Soccer	Michael Sierchio	1983	Sports
RealSports Tennis		1983	Sports
RealSports Volleyball	Bob Polaro (programmer), Alan Murphy (graphics)	1982	Sports
Road Runner	Bob Polaro	1989	Action, Racing / Driving
Rubik's Cube		1983	Strategy
Secret Quest	Steve DeFrisco (programmer),ÿNolan Bushnellÿ(designer)	1989	Adventure
Sentinel	David Lubarÿ(programmer)	1990	Action
Sky Diver	Jim Huether	1979	Action
Slot Machine	David Crane	1979	Simulation
Slot Racers	Warren Robinett	1978	Action
Snoopy and the Red Baron	Richard Dobbis (programmer), Sam Comstock (graphics)	1983	Action
Solaris	Doug Neubauer	1986	Action
Sorcerer's Apprentice	Peter C. Niday	1983	Action
Space Invaders	Rick Maurer	1980	Action
Space War	Ian Shepard	1978	Action
Sprint Master	Bob Polaro	1988	Action, Racing / Driving
Star Raiders	Carla Meninsky	1982	Action, Strategy
Star Ship	Bob Whitehead	1977	Action
Stargate	Bill Aspromonte (programmer), Andrew Fuchs (sound)	1984	Action
Steeplechase	Jim Huether	1980	Action, Sports
Stellar Track	Robert Zdybel	1980	Simulation, Strategy
Street Racer	Larry Kaplan	1977	Racing / Driving
Submarine Commander	Matthew Hubbard	1982	Simulation
Super Baseball		1988	Action, Sports
Super Breakout	Nick Turner	1981	Action
Super Football	Doug Neubauer	1988	Sports
Superman	John Dunn	1979	Action, Adventure
Surround	Alan Miller	1977	Action
Swordquest: Earthworld	Dan Hitchens	1982	Action, Adventure
Swordquest: Fireworld	Tod Frye	1983	Adventure
Swordquest: Waterworld	Tod Frye	1983	Adventure
Taz	Steve Woita	1983	Action
Track & Field	Seth Lipkin and Jacques Hugon	1983	Sports
Vanguard	Dave Payne	1983	Action
Video Checkers	Carol Shaw	1980	Strategy
Video Chess	Larry Wagner,ÿBob Whitehead	1979	Strategy
Video Olympics	Joe Decuir	1977	Action
Video Pinball	Bob Smith	1980	Pinball
Warlords	Carla Meninsky	1981	Action
Xenophobe		1990	Action
Yars' Revenge	Howard Scott Warshaw	1982[7][8]	Action
Acid Drop	Dennis Kiss[11]	1992	Strategy
The Activision Decathlon	Activisionÿ(David Crane)	1983	Sports
Adventures of Tron	APh Technological Consulting	1982	Action
Airlock	Data Age	1982	Action
Air Raid	MenAVision	1982	Action
Air Raiders	APh Technological Consulting	1982	Action
Alien	20th Century Fox	1982	Action
Alien's Return	Gem International Corporation	1983	Action
Amidar	Parker Brothers	1982	Action
Armor Ambush	APh Technological Consulting	1982	Action, Racing / Driving
Artillery Duel/Chuck Norris Superkicks	Xonox	1983	Strategy
Artillery Duel/Ghost Manor	Xonox	1983	Strategy
Artillery Duel/Spike's Peak	Xonox	1983	Strategy
Artillery Duel	Action Graphics	1983	Strategy
Assault	Bomb	1983	Action
Astroblast	APh Technological Consulting	1982	Action
Atlantis	Imagic	1982	Action
Atlantis II	Imagic	1982	Action
Bachelor Party	Mystique	1982	Adult, Action
Bachelorette Party		1982	Adult, Action
Bank Heist	20th Century Fox	1983	Action, Racing / Driving
Barnstorming	Activision	1982	Action
Base Attack	Home Vision	1983?	shooter
Beamrider	Cheshire Engineering	1983	Action
Beany Bopper	Sirius Software	1982	Action
Beat Em and Eat Em	Mystique	1982	Adult, Action
Berenstain Bears	Coleco	1983	Educational
Bermuda	Suntek?	1983	Shooter
Bermuda Triangle	Data Age	1982	Action
Birthday Mania	Tokar, Robert Anthony	1984	Action
Blue Print	CBS Electronics	1983	Action
BMX Airmaster	Sculptured Software	1989	Action, Sports
Bobby is Going Home	Bit Corporation	1983	
Boing!	First Star Software	1983	Action
Boxing	Activisionÿ(Bob Whitehead)	1980	Sports
Bridge	Activisionÿ(Larry Kaplan)	1980	Strategy
Buck Rogers: Planet of Zoom	Sega	1983	Action
Bugs	Data Age	1982	Action
Bumper Bash	Spectravision	1983	Action
Bump 'n' Jump	Mattel Electronics	1983	Action, Racing / Driving
BurgerTime	Mattel Electronics	1982	Action
Burning Desire		1983	Adult, Action
Busy Police		1983	
Cakewalk	CommaVid	1983	Action
California Games	Epyx	1987	Sports
Carnival	Woodside Design Associates	1982	Action
Cathouse Blues		1982	Adult
Challenge			
Challenge of Nexar	Sirius Software	1982	Action
Chase the Chuck Wagon	TMQ Software	1983	Action
Checkers	Activisionÿ(Alan Miller)	1980	Strategy
China Syndrome	Spectravision	1983	Action
Chopper Command	Activisionÿ(Bob Whitehead)	1982	Action
Chuck Norris Superkicks/Ghost Manor	Xonox	1983	Action
Chuck Norris Superkicks/Spike's Peak	Xonox	1983	Action
Chuck Norris Superkicks	Xonox	1983	Action
Coconuts	Telesys	1982	Action
Commando	Imagineering	1988	Action
Commando Raid	James Wickstead Design Associates	1982	Action
Communist Mutants from Spaceÿ(cassette)	Starpath	1982	Action
Condor Attack		1983	
Confrontation	Answer Software	1983	Strategy
Congo Bongo	Sega	1983	Action
Cosmic Ark	Imagicÿ(Rob Fulop)	1982	Action
Cosmic Commuter	Activision	1984	Action
Cosmic Corridor		1983	
Cosmic Creeps	Telesys	1982	Action
Cosmic Free Fire			
Cosmic Swarm	CommaVid	1982	Action
Crab Control			
Crackpots	Activision	1983	Action
Crash Dive	20th Century Fox	1983	Action
Creature Strike		1992	Shooter
Cross Force	Spectravision	1983	Action
Cruise Missile		1987	
Crypts of Chaos	20th Century Fox	1982	Adventure, Role-Playing (RPG)
Cubicolor	Rob Fulop	1982	Strategy
Custer's Revenge	Mystique	1982	Adult, Western
Dancing Plate		1982	
Dark Cavern	APh Technological Consulting	1982	
Deadly Discs	APh Technological Consulting	1983	Action
Deadly Duck	Sirius Software	1982	Action
Death Trap	Avalon Hill	1983	Action, Strategy
Demolition Herby	Telesys	1983	Action
Demon Attack	Imagicÿ(Rob Fulop)	1982	Fixed shooter
Dice Puzzle		1983	
Dishaster	Zimag	1983	Action
Dolphin	Activision	1983	Action
Donkey Kong	Imaginative Systems Software	1982	Action
Donkey Kong Junior	Woodside Design Associates	1983	Action
Double Dragon	Imagineering	1989	Action
Dragon Treasure		1981	
Dragonfire	Imagicÿ(Bob Smith)	1982	Action
Dragonstomperÿ(cassette)	Starpath	1982	Role-Playing (RPG)
Dragster	Activisionÿ(David Crane)	1980	Racing / Driving
Dungeon Master		1992	Action, Adventure
Earth Dies Screaming	Sirius Software	1982	Action
Earth Attack		1983	
Eddy Langfinger, der Museumsdieb		1983	Action
Eggomania	James Wickstead Design Associates	1982	Action
Eli's Ladder	Simage	1982	Educational
Encounter at L-5	Data Age	1982	Action
Enduro	Activision	1983	Racing / Driving
Entombed	Western Technologies	1983	Action, Strategy
Escape from the Mindmasterÿ(cassette)	Starpath	1982	Adventure
Espial	Orca Corporation	1984	Action
Exocet	Panda	1983	Action
Exocet Missile			
Extra Terrestrials	Herman Quast	1984	Action
Fantastic Voyage	Sirius Software	1982	Action
Farmer Dan			
Fast Eddie	Sirius Software	1982	Action
Fast Food	Telesys	1982	Action
Fathom	Imagicÿ(Rob Fulop)	1983	Action
Fighter Pilot			
Final Approach	Apollo	1982	Simulation, Strategy
Fireballÿ(cassette)	Starpath	1982	Action
Fire Fighter	Imagicÿ(Brad Stewart)	1982	Action
Fire Fly	Mythicon	1983	Action
Fisher Price		1983	
Fishing Derby	Activisionÿ(David Crane)	1980	Action, Sports
Flash Gordon	Sirius Software	1983	Action
Frankenstein's Monster	Data Age	1983	Action
Freeway	Activisionÿ(David Crane)	1981	Action
Frogger	APh Technological Consulting	1982	Action
Frogs and Flies	APh Technological Consulting	1982	Action
The Official Froggerÿ(cassette)	Starpath	1983	Action
Frogger II: ThreeeDeep!	Parker Brothers	1984	Action
Front Line	Individeo	1984	Action
Frostbite	Activision	1983	Action
Gamma-Attack	Gammation	1983	Action
Gangster Alley	Spectravision	1983	Action
Gas Hog	Spectravision	1983	Action
Gauntlet	Answer Software	1983	Action
General Retreat	PlayAround	1983	Adult, Western
Ghostbusters	Activisionÿ(David Crane)	1985	Action
Ghostbusters II	Activision	1990/1992	Action
Ghost Manor/Spike's Peak	Xonox	1983	Action
Ghost Manor	Xonox	1983	Action
G.I. Joe: Cobra Strike	Parker Brothers	1983	Action
Gigolo		1982	Adult
Glacier Patrol	VSS	1983	Action
Glib	Qualtronic Devices	1983	Strategy
Gopher	James Wickstead Design Associates	1982	Action
Gorf	Roklan Corporation	1982	Action
Grand Prix	Activisionÿ(David Crane)	1982	Racing / Driving
Great Escape	Bomb	1983	Action
Guardian	Apollo	1982	Action
Gyruss	Roklan Corporation	1984	Action
Halloween	VSS	1983	Action
Harbor Escape		1983	
H.E.R.O.	Activision	1984	Action
I Want My Mommy	Zimag	1983	Action
Ice Hockey	Activisionÿ(Alan Miller)	1981	Action, Sports
Inca Gold		1982	
Infiltrate	Apollo	1982	Action, Strategy
International Soccer	APh Technological Consulting	1982	Sports
James Bond 007	On Time Software	1983	Action
Jawbreaker	On-Line Systems	1981	Action
Journey Escape	Data Age	1982	Action
Jungle Fever	PlayAround	1982	Adult, Action
Kaboom!	Activisionÿ(Larry Kaplan,ÿDavid Crane)	1981	Action
Karate	Ultravision	1982	Action
Keystone Kapers	Activision	1983	Action
Killer Satellitesÿ(cassette)	Starpath	1982	Action
King Kong	Software Electronics	1982	Action
Knight on the Town		1982	Adult, Action
Kool-Aid Man	Mattel Electronics	1983	Action
Kung-Fu Master	Imagineering	1987	Action
Lady in Wading	PlayAround	1982	Adult, Action
Laser Blast	Activisionÿ(David Crane)	1981	Action
Laser Gates	Imagic, VentureVision	1983	Action
Laser Volley		1983	
Lochjaw	Apollo	1982	Action
Lock 'n' Chase	APh Technological Consulting	1982	Action
London Blitz	Avalon Hill	1983	Strategy
Lost Luggage	Apollo	1982	Action
M.A.D.	Western Technologies	1982	Action
MagiCard	CommaVid	1981	
Malagai		1983	Action
Mangia	Spectravision	1983	Action
Marauder	On-Line Systems	1982	
Marine Wars	Digivision	1983	Action
M*A*S*H	20th Century Fox	1982	Action
Master Builder	Spectravision	1983	Action
Masters of the Universe: The Power of He-Man	Mattel Electronics	1983	Action
MegaBoy		1990	Educational
Mega Force	20th Century Fox	1982	Action
Megamania	Activision	1982	Action
Miner 2049er	Big Five Software	1983	Action
Miner 2049er II	Big Five Software	1982	Action
Mines of Minos	CommaVid	1983	Action
Missile Control		1983	Action
Mission 3000 A.D.	Bit Corporation	1983	Action
Mission Survive		1983	Action
Mogul Maniac	Video Soft	1983	Action, Simulation, Sports
Montezuma's Revenge: Starring Panama Joe	James Wickstead Design Associates	1984	Action
Moonsweeper	Imagicÿ(Bob Smith)	1983	Action
Motocross		1983	Racing / Driving, Sports
Motocross Racer	Xonox	1984	Racing / Driving
Mountain King	VSS	1983	Action
Mouse Trap	James Wickstead Design Associates	1982	Action
Mr. Do!	Individeo	1983	Action
Mr. Do's Castle	Parker Brothers	1984	Action
Mr. Postman		1983	
The Music Machine	Christian Software Development	1983	Action, Educational
My Golf	Imagineering (company)	1990	
Name This Game	James Wickstead Design Associates	1982	Action
Nightmare		1983	Action
Night Stalker	M Network	1989	Action
No Escape!	Imagic	1983	Action
Nuts		1983	
Ocean City Defender			
Off Your Rocker	Amiga	1983	Action
Oink!	Activisionÿ(Mike Lorenzen)	1983	Action
Omega Race	CBS Electronics	1983	Action
Open Sesame	Bit Corporation	1983	Action
Out of Control	Avalon Hill	1983	Action, Racing / Driving
Pac-Kong		1983	Action
Panda Chase		1983	
Parachute	Gem International Corporation	1983	Action
Paris Attack	unknown	1982	Action / Shooter
Party Mixÿ(cassette)	Starpath	1983	Action, Racing / Driving
Pete Rose Baseball	Imagineering	1988	Sports
Phantom Tank		1983	
Phantom-Panzer		1983	Action
Phaser Patrolÿ(cassette)	Starpath	1982	Action
Philly Flasher	Mystique, PlayAround	1982	Adult, Action
Pick 'n Pile	Ubisoft	1990	Strategy
Picnic	Western Technologies	1983	Action
Piece o' Cake	Western Technologies	1983	Action
Pinball			Pinball
Piraten-Schiff			
Pitfall!	Activisionÿ(David Crane)	1982	Action
Pitfall II: Lost Caverns	Activisionÿ(David Crane)	1984	Action
Planet Patrol	Spectravision	1983	Action
Planeten Patrouile			
Plaque Attack	Activision	1983	Action
Polaris	Tigervision	1982	Action
Pooyan	Konami	1983	Action
Popeye	Parker Brothers	1983	Action
Porky's	Dunhill Electronic Media, Lazer Microsystems	1983	Adventure
Pressure Cooker	Activision	1983	Action
Private Eye	Activisionÿ(Bob Whitehead)	1983	Action
Pyramid War		1983	
Q*bert	James Wickstead Design Associates	1983	Action
Q*bert's Qubes	Mylstar Electronics	1984	Action
Quest for Quintana Roo	VSS	1983	Action, Adventure
Quick Step	Imagic	1983	Action
Rabbit Transitÿ(cassette)	Starpath	1983	Action
Racquetball	Apollo	1981	Action, Sports
Radar		1983	
Raft Rider	Western Technologies	1983	Action
Ram It	Telesys	1983	Action
Rampage	Bob Polaro	1989	Action
Reactor	D. Gottlieb & Co.	1982	Action
Red Sea Crossing	Steve Schustack	1983	
Rescue Terra 1	VentureVision	1982	Action
Revenge of the Beefsteak Tomatoes	20th Century Fox	1983	Action
Riddle of the Sphinx	Imagicÿ(Bob Smith)	1982	Action, Adventure
River Patrol	Orca Corporation	1984	Action
River Raid	Activisionÿ(Carol Shaw)	1982	Action
River Raid II	Imagineering	1988	Action
Robin Hood/Sir Lancelot - The Joust	Computer Magic, Ltd.	1983	Action
Robin Hood	Xonox	1983	Action
Robot Commando Raid		1982	
Robot Tank	Activisionÿ(Alan Miller)	1983	Action
Roc'n Rope	Coleco	1984	Action
Room of Doom	CommaVid	1982	Action
Save Our Ship		1983	
Scuba Diver		1983	
Sea Hawk	Froggo	1988	Action
Seahawk		1982	Action
Seamonster		1982	Action
Seaquest	Activision	1983	Action
Sea Hunt	Froggo	1987	Action
Shark Attack		1982	
Shootin' Gallery	Imagic	1983	Action
Shuttle Orbiter	Avalon Hill	1983	Action, Simulation
Sir Lancelot	Xonox	1983	Action
Skate Boardin': A Radical Adventure	Imagineering	1987	Action, Sports
Skeet Shoot	Apollo	1981	Action
Skiing	Activisionÿ(Bob Whitehead)	1980	Sports
Sky Jinks	Activisionÿ(Bob Whitehead)	1982	Racing / Driving
Sky Skipper	Parker Brothers	1983	Action
Smurf: Rescue in Gargamel's Castle	James Wickstead Design Associates	1982	Action
The Smurfs Save the Day[19]		1983	Action
Snail Against Squirrel		1983	Action
Sneak 'N Peek	James Wickstead Design Associates	1982	Simulation
Solar Fox	CBS Electronics	1983	Action
Solar Storm	Imagic	1983	Action
Sorcerer	Mythicon	1983	Action
Space Adventure		1981	
Space Attack	APh Technological Consulting	1982	Action
Space Canyon	Apollo	1983	Action
Space Cavern	Apollo	1982	Action
Spacechase	Apollo	1981	Action
Space Grid			
Space Jockey	James Wickstead Design Associates	1982	Action
Spacemaster X-7	Sirius Software	1983	Action, Strategy
Space Shuttle: A Journey into Space	Activision	1983	Simulation
Spiderdroid	Froggo	1987	Action
Spider Fighter	Activision	1982	Action
Spider-Man	Parker Brothers	1982	Action
Spider Maze		1982	
Spike's Peak	Xonox	1983	Action
Spitfire Attack	Milton Bradley	1983	Action
Springer	Orca Corporation	1983	Action
Spy Hunter	Sega	1984	Action, Racing / Driving
Squeeze Box	James Wickstead Design Associates	1982	Action
Sssnake	Data Age	1982	Action
Stampede	Activisionÿ(Bob Whitehead)	1981	Action
Star Fox	Mythicon	1983	Action
Stargunner	Telesys	1982	Action
Starmaster	Activisionÿ(Alan Miller)	1982	Action
Star Strike	Mattel Electronics	1982	Action
Star Trek: Strategic Operations Simulator	Sega	1983	Action
Star Voyager	Imagicÿ(Bob Smith)	1982	Action
Star Wars: The Arcade Game	James Wickstead Design Associates	1984	Action
Star Wars: Jedi Arena	Parker Brothers	1983	Action
Star Wars Return of the Jedi: Death Star Battle	Parker Brothers	1983	Action
Star Wars: The Empire Strikes Back	Parker Brothers	1982	Action
Steeplechase		1983	Action, Sports
Strategy X	Konami	1983	Action
Strawberry Shortcake: Musical Match-ups	Parker Brothers	1983	Strategy
Stronghold	CommaVid	1983	Action
Stunt Man		1983	Action
Sub-Scan	Sega	1983	Strategy
Subterranea	Imagic	1983	Action
Suicide Missionÿ(cassette)	Starpath	1982	Action
Summer Games	Epyx	1987	Action, Sports
Super Baumeister		1983	Arcade
Super Challenge Baseball	APh Technological Consulting	1982	Sports
Super Challenge Football	APh Technological Consulting	1982	Sports
Super Cobra	Roklan Corporation	1983	Action
Surfer's Paradise: But Danger Below!		1983	Action, Sports
Survival Islandÿ(cassette)	Starpath	1983	Adventure
Survival Run	Renaissance Technology	1983	Action
Sword of Sarosÿ(cassette)	Starpath	1983	Adventure, RPG
Tac-Scan	Sega	1983	Action
Tank Brigade		1983	
Tank City			
Tanks But No Tanks		1983	
Tapeworm	Spectravision	1982	Action
Tapper	Beck-Tech	1984	Action
Task Force		1988	
Tax Avoiders	Dunhill Electronics	1982	Action
Tennis	Activisionÿ(Alan Miller)	1981	Sports
The Texas Chainsaw Massacre	VSS	1983	Action
Threshold	On-Line Systems	1983	Fixed shooter
Thunderground	Sega	1983	Action
Time Pilot	Coleco	1983	Action
Time Warp		1983	
Title Match Pro Wrestling	Imagineering	1987	Sports
Tomarc the Barbarian	Xonox	1983	Action
Tomcat: The F-14 Fighter SimulatorÿAKAÿDan Kitchen's Tomcat: The F-14 Fighter Simulator	Imagineeringÿ(Dan Kitchen)	1988	Action, Simulation
Tooth Protectors	DSD	1983	Action
Towering Inferno	Western Technologies	1982	Action
Treasure Below		1983	Action
Trick Shot	Imagic	1983	Sports
Tron: Deadly Discs	APh Technological Consulting	1982	Action
Tunnel Runner	CBS Electronics	1983	Action
Turmoil	Sirius Software	1982	Action
Tutankham	Parker Brothers	1983	Action
Universal Chaos		1983	Action
Up'n Down	Sega	1984	Action, Racing / Driving
Venture	Coleco	1982	Action
Video Jogger	Exus Corporation	1983	Action
Video Life	CommaVid	1981	Life Simulation
Video Reflex	Exus Corporation	1983	Action
Vulture Attack		1982	
Wabbit	Apollo	1982	Action
Wall Ball		1983	
Wall-Defender	Bomb	1983	Action
War Zone			
Warplock	Data Age	1982	Action
Weltraumtunnel (Space Tunnel)	BitCorp	1982	Action
Westward Ho	PlayAround	1983	Adult, Western
Wing War	Imagic	1983	Action
Winter Games	Action Graphics	1987	Action, Sports
Wizard of Wor	Roklan Corporation	1982	Action
Word Zapper	James Wickstead Design Associates	1982	Action
Worm War I	Sirius Software	1982	Shooter
X-Man		1983	Adult, Simulation
The Year 1999		1983	Shooter
Z-Tack	Bomb	1983	Action
Zaxxon	Coleco	1982	Action
Zoo Fun		1983	
